apartment_id,date,price
4,2025-06-14,109
3,2025-06-16,166
6,2025-10-24,132
3,2025-09-08,121
3,2025-10-23,300
1,2025-07-30,100
6,2025-08-22,255
2,2025-08-08,248
6,2025-08-31,130
6,2025-08-27,98
6,2025-06-17,254
4,2025-06-25,101
4,2025-08-22,285
6,2025-08-07,188
5,2025-07-20,182
3,2025-09-01,252
1,2025-07-19,158
1,2025-08-12,294
6,2025-06-15,263
5,2025-08-08,278
4,2025-08-23,260
6,2025-07-11,66
3,2025-07-03,144
3,2025-06-10,120
5,2025-08-20,147
1,2025-07-03,111
2,2025-09-12,126
1,2025-06-15,87
3,2025-09-30,207
6,2025-06-22,236
2,2025-07-10,56
2,2025-07-02,109
2,2025-07-28,244
3,2025-10-22,65
6,2025-09-07,149
1,2025-09-07,137
6,2025-07-20,81
6,2025-09-13,230
1,2025-10-25,232
6,2025-09-11,129
3,2025-07-09,86
2,2025-06-14,114
6,2025-10-18,185
4,2025-10-07,231
6,2025-07-02,136
1,2025-07-07,254
2,2025-09-14,77
4,2025-08-11,69
5,2025-10-19,267
6,2025-10-13,242
1,2025-08-12,81
6,2025-10-10,217
1,2025-06-28,235
3,2025-08-24,128
5,2025-10-01,245
5,2025-09-21,63
2,2025-07-25,298
5,2025-06-26,110
3,2025-07-20,156
2,2025-09-09,155
4,2025-09-07,159
3,2025-06-02,78
4,2025-06-13,113
1,2025-08-23,58
1,2025-06-17,132
5,2025-08-26,96
1,2025-07-10,92
3,2025-09-11,86
6,2025-07-02,90
2,2025-09-18,169
2,2025-06-26,229
1,2025-08-20,93
6,2025-10-20,261
2,2025-08-25,63
3,2025-10-27,268
1,2025-06-26,298
4,2025-07-13,82
5,2025-08-27,177
6,2025-10-10,54
1,2025-06-17,167
1,2025-08-21,74
4,2025-05-31,258
2,2025-07-10,224
6,2025-08-26,269
5,2025-06-12,191
3,2025-06-27,123
6,2025-10-22,213
2,2025-08-17,257
3,2025-06-18,242
5,2025-08-29,98
6,2025-06-06,119
4,2025-10-18,89
4,2025-06-09,221
3,2025-09-04,89
1,2025-09-23,179
2,2025-09-04,220
3,2025-08-07,75
1,2025-08-19,282
2,2025-06-19,215
6,2025-10-23,271
2,2025-09-21,222
3,2025-10-22,296
3,2025-06-30,293
4,2025-06-01,145
3,2025-07-07,276
6,2025-09-24,178
2,2025-08-10,225
6,2025-10-16,249
6,2025-09-18,142
5,2025-08-08,281
2,2025-09-23,70
6,2025-10-03,177
6,2025-09-01,229
1,2025-09-14,156
1,2025-05-30,197
3,2025-10-23,298
1,2025-07-16,130
2,2025-09-08,142
5,2025-06-14,129
5,2025-08-19,235
3,2025-05-28,96
6,2025-09-07,219
2,2025-09-11,168
2,2025-05-31,206
4,2025-06-01,139
4,2025-08-17,261
4,2025-08-09,213
5,2025-08-11,108
6,2025-07-03,229
6,2025-08-22,272
3,2025-08-08,174
1,2025-08-21,277
5,2025-08-23,222
6,2025-07-19,132
4,2025-06-11,192
2,2025-10-17,287
5,2025-08-24,166
6,2025-08-29,162
1,2025-09-30,63
4,2025-05-28,57
3,2025-07-21,115
6,2025-09-19,249
2,2025-10-20,123
4,2025-09-25,105
1,2025-07-13,141
1,2025-06-04,180
3,2025-10-19,53
1,2025-10-14,88
6,2025-06-23,83
1,2025-06-25,72
1,2025-08-29,227
6,2025-10-02,238
2,2025-10-10,242
6,2025-07-04,123
1,2025-06-08,206
5,2025-10-16,50
6,2025-06-09,155
6,2025-08-06,132
6,2025-09-11,132
1,2025-09-13,298
1,2025-08-17,286
6,2025-08-05,183
6,2025-07-28,143
2,2025-07-07,71
4,2025-09-21,274
2,2025-07-10,274
4,2025-05-29,74
2,2025-10-04,291
4,2025-07-20,54
2,2025-10-09,111
5,2025-09-23,81
3,2025-07-11,279
5,2025-07-15,141
4,2025-08-10,72
2,2025-10-12,224
2,2025-06-13,165
1,2025-07-25,161
3,2025-07-02,60
4,2025-10-07,127
1,2025-10-14,190
2,2025-06-23,156
4,2025-07-13,110
2,2025-09-18,128
4,2025-08-17,208
1,2025-10-12,176
3,2025-06-18,114
1,2025-07-29,273
3,2025-08-25,219
6,2025-07-18,219
3,2025-09-02,86
6,2025-07-21,51
4,2025-09-25,193
2,2025-10-12,280
4,2025-09-01,212
4,2025-07-05,67
1,2025-07-09,66
5,2025-06-25,118
5,2025-06-04,175
1,2025-10-24,160
3,2025-07-03,216
2,2025-06-25,83
5,2025-10-21,180
6,2025-05-30,173
4,2025-07-21,292
6,2025-09-03,71
1,2025-07-17,143
6,2025-06-05,119
1,2025-06-24,248
1,2025-07-25,64
2,2025-09-06,67
5,2025-07-28,251
4,2025-08-27,170
2,2025-08-10,79
4,2025-08-03,81
4,2025-09-30,67
3,2025-08-25,104
2,2025-09-01,83
3,2025-06-11,141
4,2025-06-28,66
6,2025-07-15,261
4,2025-06-18,196
1,2025-08-28,100
1,2025-09-05,208
6,2025-08-05,273
6,2025-08-01,76
2,2025-10-13,276
5,2025-10-14,83
4,2025-10-22,265
6,2025-06-26,210
6,2025-06-11,155
2,2025-09-27,62
5,2025-09-24,126
2,2025-06-24,55
4,2025-08-09,169
3,2025-10-19,234
5,2025-08-11,263
6,2025-08-07,252
6,2025-06-14,165
3,2025-09-24,205
3,2025-08-21,284
5,2025-06-30,236
1,2025-09-08,242
2,2025-09-10,241
1,2025-07-02,113
6,2025-06-16,212
1,2025-10-11,148
4,2025-09-07,226
5,2025-10-17,158
2,2025-07-16,280
4,2025-09-03,105
1,2025-07-02,277
5,2025-08-25,247
5,2025-09-12,156
3,2025-07-29,160
3,2025-08-05,105
3,2025-10-06,180
4,2025-06-30,134
5,2025-07-30,282
6,2025-08-22,185
1,2025-09-29,219
6,2025-07-25,258
2,2025-06-07,119
3,2025-09-30,50
3,2025-07-11,280
1,2025-10-07,92
3,2025-07-27,142
6,2025-09-04,281
5,2025-08-06,96
5,2025-10-12,247
4,2025-10-09,147
6,2025-09-07,136
2,2025-05-30,212
1,2025-08-01,79
4,2025-06-21,73
6,2025-06-07,295
3,2025-08-11,109
4,2025-10-17,281
6,2025-09-10,146
4,2025-06-30,63
4,2025-10-12,63
3,2025-06-07,236
2,2025-10-24,77
4,2025-06-24,218
6,2025-07-26,55
2,2025-10-02,77
4,2025-10-20,228
4,2025-10-17,57
6,2025-07-12,79
6,2025-08-07,192
2,2025-08-23,210
6,2025-10-12,110
4,2025-10-24,209
6,2025-10-08,180
4,2025-06-22,240
1,2025-07-12,252
3,2025-09-03,117
1,2025-06-11,285
5,2025-05-29,95
5,2025-06-05,171
1,2025-06-03,84
4,2025-08-12,285
1,2025-07-19,259
6,2025-09-14,173
4,2025-07-11,150
4,2025-08-05,254
2,2025-07-13,62
2,2025-07-22,226
3,2025-08-17,158
2,2025-08-19,90
4,2025-06-16,114
6,2025-06-22,226
3,2025-09-08,192
4,2025-07-17,85
2,2025-10-04,65
3,2025-08-30,218
4,2025-07-06,224
3,2025-08-29,186
3,2025-08-29,279
3,2025-08-29,54
4,2025-08-31,209
3,2025-10-19,191
6,2025-08-07,247
3,2025-09-09,256
5,2025-08-22,117
6,2025-10-01,120
5,2025-06-02,107
4,2025-07-06,292
1,2025-09-02,86
5,2025-08-28,217
4,2025-06-09,244
3,2025-06-18,216
6,2025-09-22,157
6,2025-08-05,100
4,2025-07-14,212
5,2025-08-18,199
6,2025-07-11,53
6,2025-09-14,289
6,2025-06-11,264
3,2025-07-27,297
4,2025-08-29,183
5,2025-08-06,256
3,2025-08-29,163
1,2025-07-31,259
5,2025-09-08,263
1,2025-10-06,281
1,2025-08-09,211
3,2025-07-02,97
6,2025-07-05,243
6,2025-09-04,169
5,2025-06-28,62
2,2025-10-02,174
1,2025-08-03,165
6,2025-07-14,227
4,2025-06-30,125
4,2025-09-02,156
5,2025-10-05,274
1,2025-08-13,168
3,2025-10-15,256
2,2025-06-17,95
5,2025-07-22,178
2,2025-09-17,131
6,2025-10-04,232
1,2025-06-22,145
3,2025-09-23,116
4,2025-08-23,110
2,2025-10-14,221
5,2025-07-09,283
5,2025-07-16,290
5,2025-10-12,76
1,2025-09-20,296
6,2025-06-28,90
4,2025-06-16,52
6,2025-09-29,208
3,2025-07-09,104
1,2025-10-26,228
3,2025-10-16,171
3,2025-08-07,94
4,2025-06-01,214
3,2025-07-07,292
2,2025-07-22,55
4,2025-07-14,240
6,2025-10-22,277
1,2025-08-11,280
2,2025-10-26,158
3,2025-08-17,246
1,2025-06-27,285
4,2025-06-14,225
1,2025-07-08,171
4,2025-06-29,231
1,2025-07-30,207
4,2025-07-02,74
1,2025-09-03,233
3,2025-06-21,272
4,2025-05-30,242
1,2025-07-28,278
2,2025-07-23,169
1,2025-06-11,191
2,2025-06-15,51
1,2025-10-03,139
6,2025-09-22,163
4,2025-10-21,107
3,2025-10-11,247
4,2025-06-06,163
6,2025-06-09,226
2,2025-08-24,238
2,2025-07-20,212
4,2025-07-25,202
1,2025-07-09,133
2,2025-08-22,147
5,2025-08-18,92
4,2025-06-03,231
6,2025-07-15,124
2,2025-09-05,241
1,2025-08-04,119
3,2025-10-02,104
5,2025-06-11,217
4,2025-08-28,115
3,2025-09-13,168
4,2025-09-18,206
6,2025-07-07,71
2,2025-09-27,243
2,2025-08-11,272
2,2025-10-26,213
4,2025-10-27,85
3,2025-06-18,160
5,2025-09-20,56
1,2025-07-12,274
6,2025-08-28,63
3,2025-06-02,226
3,2025-09-15,57
3,2025-09-07,122
3,2025-08-24,133
4,2025-06-14,139
1,2025-10-20,242
3,2025-06-16,54
1,2025-07-02,227
3,2025-06-23,162
3,2025-06-21,275
5,2025-06-13,223
5,2025-09-30,134
4,2025-09-13,71
6,2025-10-16,152
5,2025-10-09,164
5,2025-09-11,83
5,2025-09-24,226
5,2025-10-07,151
5,2025-06-28,297
6,2025-08-16,94
6,2025-06-19,195
5,2025-07-04,243
6,2025-10-26,73
1,2025-09-19,260
4,2025-07-20,99
3,2025-06-12,278
1,2025-06-01,217
4,2025-06-27,99
3,2025-05-30,124
2,2025-09-29,186
3,2025-07-14,176
5,2025-09-17,237
3,2025-09-12,206
1,2025-10-09,279
1,2025-06-02,160
6,2025-05-29,161
4,2025-10-21,294
1,2025-06-04,298
6,2025-07-17,98
4,2025-10-22,187
2,2025-07-01,72
4,2025-07-21,192
5,2025-09-08,154
5,2025-07-09,90
6,2025-06-13,146
1,2025-09-17,162
5,2025-09-24,149
1,2025-08-27,115
6,2025-07-01,135
6,2025-07-01,102
5,2025-07-16,300
5,2025-06-28,147
3,2025-09-05,88
5,2025-07-22,85
6,2025-09-19,74
4,2025-09-15,213
4,2025-10-03,133
1,2025-10-19,203
2,2025-09-27,226
1,2025-08-21,168
5,2025-10-16,109
3,2025-10-14,208
6,2025-10-21,265
5,2025-09-22,58
3,2025-06-08,280
4,2025-06-21,173
5,2025-10-17,130
4,2025-05-31,286
3,2025-06-13,123
2,2025-07-11,82
4,2025-08-14,183
4,2025-07-26,110
3,2025-06-13,155
4,2025-08-24,87
4,2025-10-10,173
4,2025-07-20,86
4,2025-06-26,124
2,2025-07-29,182
4,2025-06-19,59
5,2025-08-19,55
1,2025-08-13,254
6,2025-08-08,278
1,2025-07-23,116
6,2025-08-26,254
3,2025-08-29,134
1,2025-10-22,93
2,2025-08-26,64
3,2025-08-06,186
6,2025-05-29,96
6,2025-08-10,105
5,2025-09-21,231
1,2025-08-23,217
3,2025-08-28,100
4,2025-06-02,164
1,2025-09-04,139
4,2025-07-25,157
6,2025-06-04,203
4,2025-08-13,290
2,2025-07-13,226
1,2025-06-08,292
1,2025-09-26,299
3,2025-06-24,101
1,2025-06-26,162
1,2025-06-04,183
3,2025-06-24,125
2,2025-09-28,85
5,2025-08-24,97
3,2025-08-08,154
6,2025-10-03,114
6,2025-08-27,139
6,2025-08-13,230
3,2025-07-18,87
5,2025-07-24,86
3,2025-10-27,148
2,2025-07-26,277
1,2025-06-18,114
1,2025-07-31,286
6,2025-10-03,147
5,2025-09-08,265
3,2025-10-04,71
1,2025-08-04,276
5,2025-08-04,58
5,2025-09-17,214
6,2025-09-08,134
2,2025-08-06,65
2,2025-07-11,185
5,2025-06-24,299
5,2025-08-31,285
1,2025-10-08,291
4,2025-10-05,161
1,2025-05-30,231
2,2025-06-09,114
5,2025-09-24,198
1,2025-09-24,294
4,2025-10-27,157
3,2025-09-13,87
2,2025-09-10,198
3,2025-09-05,259
2,2025-10-04,88
2,2025-08-10,195
6,2025-08-25,169
5,2025-07-03,235
2,2025-09-27,166
2,2025-09-10,78
5,2025-06-03,181
2,2025-07-05,73
1,2025-10-19,298
5,2025-10-23,202
1,2025-09-10,83
2,2025-08-12,281
4,2025-07-31,236
3,2025-07-27,144
4,2025-07-31,228
4,2025-08-20,209
2,2025-10-26,79
3,2025-07-09,137
4,2025-08-22,204
1,2025-06-23,98
4,2025-10-06,125
6,2025-06-28,225
5,2025-10-24,174
6,2025-06-16,224
2,2025-09-12,292
6,2025-09-24,127
1,2025-09-14,137
6,2025-06-28,97
6,2025-09-05,214
3,2025-06-15,113
2,2025-06-24,184
4,2025-09-20,71
2,2025-07-18,111
2,2025-07-09,63
1,2025-09-26,292
1,2025-06-29,131
3,2025-06-27,184
1,2025-09-17,171
6,2025-06-24,60
4,2025-09-19,104
6,2025-09-01,64
2,2025-07-01,211
6,2025-10-13,171
6,2025-08-25,242
5,2025-08-05,95
1,2025-08-24,198
2,2025-07-03,114
3,2025-06-13,120
6,2025-09-13,94
6,2025-08-09,223
1,2025-10-12,121
5,2025-09-24,69
6,2025-07-14,269
3,2025-09-12,236
3,2025-06-29,221
4,2025-09-06,105
3,2025-08-16,220
3,2025-08-05,298
5,2025-08-06,158
1,2025-07-26,222
3,2025-09-15,182
3,2025-07-10,197
6,2025-07-12,54
4,2025-05-31,132
4,2025-06-21,293
2,2025-10-07,88
3,2025-07-05,290
6,2025-10-14,68
3,2025-10-03,211
3,2025-09-03,255
6,2025-10-24,76
4,2025-08-27,185
1,2025-10-07,160
1,2025-10-09,139
5,2025-09-26,251
1,2025-06-05,90
3,2025-05-28,265
4,2025-10-11,273
5,2025-09-05,92
